song title,lyrics,album id,album title,release date
Blank Space,Nice to meet you where you been\ I could show you incredible things\ Magic madness heaven sin\ Saw you there and I thought\ Oh my God look at that face\ You look like my next mistake\ Loves a game wanna play\ Ayy\ \ New money suit and tie\ I can read you like a magazine\ Aint it funny Rumors fly\ And I know you heard about me\ So hey lets be friends\ Im dying to see how this one ends\ Grab your passport and my hand\ I can make the bad guys good for a weekend\ \ So its gonna be forever\ Or its gonna go down in flames\ You can tell me when its over mm\ If the high was worth the pain\ Got a long list of ex-lovers\ Theyll tell you Im insane\ Cause you know I love the players\ And you love the game\ \ Cause were young and were reckless\ Well take this way too far\ Itll leave you breathless hmm\ Or with a nasty scar\ Got a long list of ex-lovers\ Theyll tell you Im insane\ But Ive got a blank space baby\ And Ill write your name\ \ Cherry lips crystal skies\ I could show you incredible things\ Stolen kisses pretty lies\ Youre the King baby Im your Queen\ Find out what you want\ Be that girl for a month\ Wait the worst is yet to come oh no\ \ Screaming crying perfect storms\ I can make all the tables turn\ Rose garden filled with thorns\ Keep you second guessing like\ Oh my God who is she\ I get drunk on jealousy\ But youll come back each time you leave\ Cause darling Im a nightmare dressed like a daydream\ \ So its gonna be forever\ Or its gonna go down in flames\ You can tell me when its over mm\ If the high was worth the pain\ Got a long list of ex-lovers\ Theyll tell you Im insane\ Cause you know I love the players\ And you love the game\ \ Cause were young and were reckless\ Well take this way too far\ Itll leave you breathless hmm\ Or with a nasty scar\ Got a long list of ex-lovers\ Theyll tell you Im insane\ But Ive got a blank space baby\ And Ill write your name\ \ Boys only want love if its torture\ Dont say I didnt say I didnt warn ya\ Boys only want love if its torture\ Dont say I didnt say I didnt warn ya\ \ So its gonna be forever\ Or its gonna go down in flames\ You can tell me when its over mm\ If the high was worth the pain\ Got a long list of ex-lovers\ Theyll tell you Im insane\ Cause you know I love the players\ And you love the game\ \ Cause were young and were reckless\ Well take this way too far\ Itll leave you breathless hmm\ Or with a nasty scar\ Got a long list of ex-lovers\ Theyll tell you Im insane\ But Ive got a blank space baby\ And Ill write your name,1,1989,2014
Style,Midnight\ You come and pick me up no headlights\ Long drive\ Could end in burning flames or paradise\ Fade into view oh its been a while since I have even heard from you heard from you\ \ I should just tell you to leave cause I\ Know exactly where it leads but I\ Watch us go round and round each time\ \ You got that James Dean daydream look in your eye\ And I got that red lip classic thing that you like\ And when we go crashing down we come back every time\ Cause we never go out of style\ We never go out of style\ \ You got that long hair slicked back white t-shirt\ And I got that good girl faith and a tight little skirt\ And when we go crashing down we come back every time\ Cause we never go out of style\ We never go out of style\ \ So it goes\ He cant keep his wild eyes on the road\ Takes me home\ Lights are off hes taking off his coat hmm yeah\ I say I heard oh that youve been out and about with some other girl some other girl\ \ He says What youve heard is true but I\ Cant stop thinking about you and I\ I said Ive been there too a few times\ \ Cause you got that James Dean daydream look in your eye\ And I got that red lip classic thing that you like\ And when we go crashing down we come back every time\ Cause we never go out of style\ We never go out of style\ \ You got that long hair slicked back white t-shirt\ And I got that good girl faith and a tight little skirt tight little skirt\ And when we go crashing down we come back every time\ Cause we never go out of style We never go we never go\ We never go out of style\ \ Take me home\ Just take me home yeah\ Just take me home\ Out of style\ \ You got that James Dean daydream look in your eye\ And I got that red lip classic thing that you like\ And when we go crashing down when we go\ We come back every time\ Cause we never go out of style\ We never go out of style,1,1989,2014
Out Of The Woods,Looking at it now\ It all seems so simple\ We were lying on your couch\ I remember\ You took a Polaroid of us\ Then discovered then discovered\ The rest of the world was black and white\ But we were in screaming color\ And I remember thinking\ \ Are we out of the woods yet\ Are we out of the woods yet\ Are we out of the woods yet\ Are we out of the woods\ Are we in the clear yet\ Are we in the clear yet\ Are we in the clear yet\ In the clear yet Good\ Are we out of the woods yet\ Are we out of the woods yet\ Are we out of the woods yet\ Are we out of the woods\ Are we in the clear yet\ Are we in the clear yet\ Are we in the clear yet\ In the clear yet Good\ Are we out of the woods\ \ Looking at it now\ Last December last December\ We were built to fall apart\ Then fall back together back together\ Ooh your necklace hanging from my neck\ The night we couldnt quite forget\ When we decided we decided\ To move the furniture so we could dance\ Baby like we stood a chance\ Two paper airplanes flying flying flying\ And I remember thinkin\ \ Are we out of the woods yet\ Are we out of the woods yet\ Are we out of the woods yet\ Are we out of the woods\ Are we in the clear yet\ Are we in the clear yet\ Are we in the clear yet\ In the clear yet Good\ Are we out of the woods yet\ Are we out of the woods yet\ Are we out of the woods yet\ Oh\ Are we out of the woods\ Are we in the clear yet\ Are we in the clear yet\ Are we in the clear yet\ In the clear yet Good\ Are we out of the woods\ \ Remember when you hit the brakes too soon\ Twenty stitches in a hospital room\ When you started cryin baby I did too\ But when the sun came up I was lookin at you\ Remember when we couldnt take the heat\ I walked out and said Im settin you free\ But the monsters turned out to be just trees\ When the sun came up you were lookin at me\ \ You were lookin at me\ You were lookin at me\ \ Are we out of the woods yet\ Are we out of the woods yet\ Are we out of the woods yet\ Are we out of the woods\ I remember\ Are we in the clear yet\ Are we in the clear yet\ Are we in the clear yet\ In the clear yet Good\ Oh I remember\ \ Are we out of the woods yet\ Are we out of the woods yet\ Yeah\ Are we out of the woods yet\ Are we out of the woods\ Are we in the clear yet\ Are we in the clear yet\ Are we\ Are we in the clear yet\ In the clear yet Good\ \ Are we out of the woods yet\ Are we out of the woods yet\ Are we out of the woods yet\ Are we out of the woods\ \ Are we in the clear yet\ Yeah\ Are we in the clear yet\ Yeah\ Are we in the clear yet\ In the clear yet Good\ \ Are we out of the woods yet\ Are we out of the woods yet\ Are we out of the woods yet\ Are we out of the woods\ \ Are we in the clear yet\ Are we in the clear yet\ Are we in the clear yet\ In the clear yet Good\ Are we out of the woods yet\ Are we out of the woods yet\ Are we out of the woods yet\ Are we out of the woods\ Are we in the clear yet\ Are we in the clear yet\ Are we in the clear yet\ In the clear yet Good,1,1989,2014
All You Had to Do Was Stay,Hey hey hey\ Hey hey hey\ Hey hey hey\ Hey hey hey\ \ People like you always want back the love they gave away\ And people like me wanna believe you when you say youve changed\ The more I think about it now the less I know\ All I know is that you drove us off the road\ \ Stay\ Hey all you had to do was stay\ Had me in the palm of your hand\ Then whyd you have to go and lock me out when I let you in\ Stay\ Hey now you say you want it back\ Now that its just too late\ Well couldve been easy\ All you had to do was stay\ \ All you had to do was stay\ All you had to do was stay\ All you had to do was stay\ All you had to do was stay\ \ Here you are now calling me up but I dont know what to say\ Ive been picking up the pieces of the mess you made\ People like you always want back the love they pushed aside\ But people like me are gone forever when you say goodbye\ \ Stay\ Hey all you had to do was stay\ Had me in the palm of your hand\ Then whyd you have to go and lock me out when I let you in\ Stay\ Hey now you say you want it back\ Now that its just too late\ Well couldve been easy\ All you had to do was stay\ \ All you had to do was stay\ All you had to do was stay\ All you had to do was stay stay stay stay stay\ \ Let me remind you\ This was what you wanted\ You ended it\ You were all I wanted\ But not like this\ Not like this\ Not like this\ \ Oh all you had to do was\ \ Stay\ Hey all you had to do was stay\ Had me in the palm of your hand\ Then whyd you have to go and lock me out when I let you in\ Stay\ Hey now you say you want it back\ Now that its just too late\ Well couldve been easy\ All you had to do was stay\ \ Hey all you had to do was stay\ Had me in the palm of your hand\ Then whyd you have to go and lock me out when I let you in\ Stay\ Hey now you say you want it back\ Now that its just too late\ Well couldve been easy\ All you had to do was stay\ All you had to do was stay\ \ All you had to do was stay\ All you had to do was stay\ All you had to do was stay\ All you had to do was stay,1,1989,2014
Shake It Off,I stay out too late\ Got nothing in my brain\ Thats what people say mmm-mmm\ Thats what people say mmm-mmm\ \ I go on too many dates\ But I cant make them stay\ At least thats what people say mmm-mmm\ Thats what people say mmm-mmm\ \ But I keep cruising\ Cant stop wont stop moving\ Its like I got this music\ In my mind\ Saying Its gonna be alright\ \ Cause the players gonna play play play play play\ And the haters gonna hate hate hate hate hate\ Baby Im just gonna shake shake shake shake shake\ I shake it off I shake it off\ Heart-breakers gonna break break break break break\ And the fakers gonna fake fake fake fake fake\ Baby Im just gonna shake shake shake shake shake\ I shake it off I shake it off\ \ I never miss a beat\ Im lightning on my feet\ And thats what they dont see mmm-mmm\ Thats what they dont see mmm-mmm\ \ Im dancing on my own dancing on my own\ I make the moves up as I go moves up as I go\ And thats what they dont know mmm-mmm\ Thats what they dont know mmm-mmm\ \ But I keep cruising\ Cant stop wont stop grooving\ Its like I got this music\ In my mind\ Saying Its gonna be alright\ \ Cause the players gonna play play play play play\ And the haters gonna hate hate hate hate hate\ Baby Im just gonna shake shake shake shake shake\ I shake it off I shake it off\ Heart-breakers gonna break break break break break\ And the fakers gonna fake fake fake fake fake\ Baby Im just gonna shake shake shake shake shake\ I shake it off I shake it off\ \ Shake it off I shake it off\ I I I shake it off I shake it off\ I I I shake it off I shake it off\ I I I shake it off I shake it off\ \ Hey hey hey\ Just think while youve been getting down and out about the liars and the dirty dirty cheats of the world\ You couldve been getting down to this sick beat\ \ My ex-man brought his new girlfriend\ Shes like Oh my God but Im just gonna shake\ And to the fella over there with the hella good hair\ Wont you come on over baby We can shake shake shake\ \ Yeah ohhh\ \ Cause the players gonna play play play play play\ And the haters gonna hate hate hate hate hate haters gonna hate\ Im just gonna shake shake shake shake shake\ I shake it off I shake it off\ Heart-breakers gonna break break break break break mmmm\ And the fakers gonna fake fake fake fake fake and fake and fake and fake\ Baby Im just gonna shake shake shake shake shake\ I shake it off I shake it off\ \ Shake it off I shake it off\ I I I shake it off I shake it off\ I I I shake it off I shake it off\ I I I shake it off I shake it off\ \ Shake it off I shake it off\ I I I shake it off I shake it off\ I I I shake it off I shake it off\ I I I shake it off I shake it off\ \ Shake it off I shake it off\ I I I shake it off I shake it off youve got to\ I I I shake it off I shake it off\ I I I shake it off I shake it off,1,1989,2014
I Wish You Would,Its 2 AM in your car\ Windows down you pass my street the memories start\ You say its in the past you drive straight ahead\ Youre thinking that I hate you now\ Cause you still dont know what I never said\ \ I wish you would come back\ Wish I never hung up the phone like I did\ I wish you knew that Id never forget you as long as I live\ And I wish you were right here right now its all good\ I wish you would\ \ Its 2 AM in my room\ Headlights pass the window pane I think of you\ Were a crooked love in a straight line down\ Makes you wanna run and hide\ But it makes you turn right back around\ \ I wish you would come back\ Wish I never hung up the phone like I did\ I wish you knew that Id never forget you as long as I live\ And I wish you were right here right now its all good\ I wish you would\ \ I wish we could go back\ And remember what we were fighting for\ And I wish you knew that I miss you too much to be mad anymore\ And I wish you were right here right now its all good\ I wish you would\ \ I I I I I I wish I wish\ I I I I I I wish I wish\ I I I I I I wish I wish\ \ You always knew how to push my buttons\ You give me everything and nothing\ This mad mad love makes you come running\ To stand back where you stood\ I wish you would I wish you would\ I wish you would I wish you would\ I wish you would I wish you would\ I wish you would I wish you would\ \ I wish I wish I\ \ 2 AM here we are\ See your face hear my voice in the dark\ Were a crooked love in a straight line down\ Makes you wanna run and hide\ But it made us turn right back around\ \ I wish you would come back\ Wish I never hung up the phone like I did\ I wish you knew that Id never forget you as long as I live\ I wish you were right here right now its all good\ I wish you would\ \ I wish you would come back\ Wish I never hung up the phone like I did\ I wish you knew that Id never forget you as long as I live\ I wish you were right here right now its all good\ I wish you would\ \ I wish we could go back\ And remember what we were fighting for\ I wish you knew that I miss you too much to be mad anymore\ I wish you were right here right now its all good\ I wish you would\ \ You always knew how to push my buttons\ You give me everything and nothing\ This mad mad love makes you come running\ To stand back where you stood\ I wish you would I wish you would\ I wish you would I wish you would\ I wish you would I wish you would\ I wish you would I wish you would\ \ I I I I I I wish I wish\ I I I I I I wish I wish\ I I I I I I wish I wish you would,1,1989,2014
Bad Blood,Cause baby now we got bad blood\ You know it used to be mad love\ So take a look what youve done\ Cause baby now we got bad blood\ Hey\ Now we got problems\ And I dont think we can solve them\ You made a really deep cut\ And baby now we got bad blood\ Hey\ \ Did you have to do this I was thinking that you could be trusted\ Did you have to ruin what was shiny Now its all rusted\ Did you have to hit me where Im weak Baby I couldnt breathe\ And rub it in so deep salt in the wound like youre laughing right at me\ \ Oh its so sad to think about the good times you and I\ \ Cause baby now we got bad blood\ You know it used to be mad love\ So take a look what youve done\ Cause baby now we got bad blood\ Hey\ Now we got problems\ And I dont think we can solve them\ You made a really deep cut\ And baby now we got bad blood\ Hey\ \ Did you think wed be fine Still got scars on my back from your knife\ So dont think its in the past these kinda wounds they last and they last\ Now did you think it all through All these things will catch up to you\ And time can heal but this wont so if youre coming my way just dont\ \ Oh its so sad to think about the good times you and I\ \ Cause baby now we got bad blood\ You know it used to be mad love\ So take a look what youve done\ Cause baby now we got bad blood\ Hey\ Now we got problems\ And I dont think we can solve them\ You made a really deep cut\ And baby now we got bad blood\ Hey\ \ Band-aids dont fix bullet holes\ You say sorry just for show\ If you live like that you live with ghosts ghosts\ Band-aids dont fix bullet holes hey\ You say sorry just for show hey\ If you live like that you live with ghosts hey\ Mhmmm\ If you love like that blood runs cold\ \ Cause baby now we got bad blood\ You know it used to be mad love mad love\ So take a look what youve done\ Cause baby now we got bad blood\ Hey\ Now we got problems\ And I dont think we can solve them think we can solve them\ You made a really deep cut\ And baby now we got bad blood\ Hey\ \ Cause baby now we got bad blood\ You know it used to be mad love\ So take a look what youve done look what youve done\ Cause baby now we got bad blood\ Hey\ Now we got problems\ And I dont think we can solve them\ You made a really deep cut\ And baby now we got bad blood\ Hey,1,1989,2014
I Know Places,I I I I I I I I I I I I I I I I\ \ You stand with your hand on my waistline\ Its a scene and were out here in plain sight\ I can hear them whisper as we pass by\ Its a bad sign bad sign\ Something happens when everybody finds out\ See the vultures circling dark clouds\ Loves a fragile little flame it could burn out\ It could burn out\ \ Cause they got the cages they got the boxes\ And guns\ They are the hunters we are the foxes\ And we run\ \ Baby I know places we wont be found\ And theyll be chasing their tails tryin to track us down\ Cause I I know places we can hide\ I know places I know places\ \ Lights flash and well run for the fences\ Let them say what they want we wont hear it\ Loose lips sink ships all the damn time\ Not this time\ \ Just grab my hand and dont ever drop it\ My love\ They are the hunters we are the foxes\ And we run\ \ Baby I know places we wont be found\ And theyll be chasing their tails tryin to track us down\ Cause I I know places we can hide\ I know places\ \ They are the hunters we are the foxes\ And we run\ Just grab my hand and dont ever drop it\ My love\ \ Baby I know places we wont be found\ And theyll be chasing their tails tryin to track us down\ Cause I I know places we can hide\ I know places\ \ They take their shots but were bulletproof\ I know places\ And you know for me its always you\ I know places\ In the dead of night your eyes so green\ I know places\ And I know for you its always me\ I know places\ \ I I I I I I I I I I I I I I I I,1,1989,2014
Clean,The drought was the very worst Oh-oh oh-oh\ When the flowers that wed grown together died of thirst\ It was months and months of back and forth Oh-oh oh-oh\ Youre still all over me\ Like a wine-stained dress I cant wear anymore\ \ Hung my head as I lost the war\ And the sky turned black like a perfect storm\ \ Rain came pouring down\ When I was drowning thats when I could finally breathe\ And by morning\ Gone was any trace of you I think I am finally clean\ Oh oh oh oh\ \ There was nothing left to do Oh-oh oh-oh\ When the butterflies turned to\ Dust that covered my whole room\ So I punched a hole in the roof Oh-oh oh-oh\ Let the flood carry away all my pictures of you\ \ The water filled my lungs I screamed so loud\ But no one heard a thing\ \ Rain came pouring down\ When I was drowning thats when I could finally breathe\ And by morning\ Gone was any trace of you I think I am finally clean\ Oh oh oh oh\ I think I am finally clean\ Oh oh\ Oh oh oh oh oh-oh\ Said I think I am finally clean\ Oh oh\ Oh oh oh oh oh-oh\ \ Ten months sober I must admit\ Just because youre clean dont mean you dont miss it\ Ten months older I wont give in\ Now that Im clean Im never gonna risk it\ \ The drought was the very worst Oh-oh oh-oh\ When the flowers that wed grown together died of thirst\ Oh\ \ The rain came pouring down\ When I was drowning thats when I could finally breathe\ And by morning\ Gone was any trace of you I think I am finally clean\ Rain came pouring down\ When I was drowning thats when I could finally breathe\ And by morning\ Gone was any trace of you I think I am finally clean\ \ Oh oh\ Finally clean\ Think Im finally clean\ Oh oh\ Oh-oh oh-oh\ Oh oh oh\ Think Im finally clean,1,1989,2014
Wonderland,Flashing lights and we\ Took a wrong turn and we\ Fell down a rabbit hole\ \ You held on tight to me\ Cause nothings as it seems\ And spinning out of control\ \ Didnt they tell us dont rush into things\ Didnt you flash your green eyes at me\ Havent you heard what becomes of curious minds\ \ Oh\ \ Didnt it all seem new and exciting\ I felt your arms twisting around me\ I should have slept with one eye open at night\ \ We found wonderland\ You and I got lost in it\ And we pretended it could last forever\ Eh\ We found wonderland\ You and I got lost in it\ And life was never worse but never better\ Eh eh\ \ Eh eh eh eh eh\ In wonderland\ Eh eh eh eh eh\ In wonderland\ Eh eh eh eh eh\ In wonderland\ Eh eh eh eh eh\ In wonderland\ \ So we went on our way\ Too in love to think straight\ All alone or so it seemed\ \ But there were strangers watching\ And whispers turned to talking\ And talking turned to screams\ \ Oh\ \ Didnt they tell us dont rush into things\ Didnt you flash your green eyes at me\ Didnt you calm my fears with a Cheshire cat smile\ \ Oh\ \ Didnt it all seem new and exciting\ I felt your arms twisting around me\ Its all fun and games til somebody loses their mind\ \ But darling we found wonderland\ You and I got lost in it\ And we pretended it could last forever\ Eh\ We found wonderland\ You and I got lost in it\ And life was never worse but never better\ Eh eh\ \ Eh eh eh eh eh\ In wonderland\ Eh eh eh eh eh\ In wonderland\ Eh eh eh eh eh\ In wonderland\ Eh eh eh eh eh\ In wonderland\ \ I reached for you but you were gone\ I knew I had to go back home\ You searched the world for something else to make you feel like what we had\ And in the end in wonderland we both went mad\ \ Oh\ \ We found wonderland\ You and I got lost in it\ And we pretended it could last forever last forever\ Eh eh\ We found wonderland\ You and I got lost in it got lost in it\ And life was never worse but never better never better\ Eh eh\ \ We found wonderland\ You and I got lost in it wonderland\ And we pretended it could last forever in wonderland\ \ We found wonderland\ You and I got lost in it wonderland\ And life was never worse but never better\ In wonderland,1,1989,2014
